,series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Age of Miss AmericaYears (Wikipedia),,,,,,,,,,24,24.0,24.0,21.0,22.0,21.0,24.0,22.0,20.0,19.0,22.0,,,,,,,,,,
1,Apple iPhone salesMillions of units (),,,,,,,,,,,,,,,,,,1.39,11.63,,,,,,,,,,,
1,Apple iPhone salesMillions of units (),,,,,,,,,,,,,,,,,,1.39,11.63,20.73,39.99,,,,,,,,,
1,Average honey produced per bee colony (US)Pounds of honey (USDA),,,,,,,,,,,84,73.0,67.0,69.9,71.8,72.5,64.7,60.7,69.9,58.6,,,,,,,,,,
1,Bicyclists killed in collision with stationary objectDeaths (US) (CDC),,,,,,,,,,2,4.0,7.0,5.0,3.0,4.0,8.0,8.0,6.0,9.0,12.0,11.0,,,,,,,,,
2,Bicyclists killed in collision with two- or three-wheeled motor vehicleDeaths (US) (CDC),,,,,,,,,,3,1.0,2.0,1.0,2.0,2.0,3.0,1.0,5.0,4.0,1.0,5.0,,,,,,,,,
2,Civil engineering doctorates awarded (US)Degrees awarded (National Science Foundation),,,,,,,,,,,480,501.0,540.0,552.0,547.0,622.0,655.0,701.0,712.0,708.0,,,,,,,,,,
2,Civil engineering doctorates awarded (US)Degrees awarded (National Science Foundation),,,,,,,,,,584,480.0,501.0,540.0,552.0,547.0,622.0,655.0,701.0,712.0,708.0,,,,,,,,,,
2,Computer science doctorates awarded (US)Degrees awarded (National Science Foundation),,,,,,,,,,,861,830.0,809.0,867.0,948.0,1129.0,1453.0,1656.0,1787.0,1611.0,,,,,,,,,,
2,Correlation: -0.899053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Correlation: -0.933389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Correlation: 0.0460458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Correlation: 0.0931624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Correlation: 0.170791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cost for 16oz of potato chips (unadjusted)Dollars per pound (Bureau of Labor),,,,,,,,,,3.35,3.46,3.41,3.65,4.48,4.65,4.74,,,,,,,,,,,,,,
1,Deaths caused by X-ray contrast mediaDeaths (US) (CDC),,,,,,,,,,9,7.0,9.0,6.0,6.0,7.0,13.0,7.0,17.0,12.0,10.0,16.0,,,,,,,,,
2,Deaths caused by amputation of limbsDeaths (US) (CDC),,,,,,,,,,168,158.0,162.0,142.0,139.0,127.0,120.0,115.0,92.0,111.0,99.0,82.0,,,,,,,,,
2,Deaths caused by amputation of limbsDeaths (US) (CDC),,,,,,,,,,168,158.0,162.0,142.0,139.0,127.0,120.0,115.0,92.0,111.0,99.0,82.0,,,,,,,,,
2,Deaths caused by anticoagulantsDeaths (US) (CDC),,,,,,,,,,17,39.0,39.0,27.0,44.0,46.0,29.0,42.0,47.0,52.0,78.0,,,,,,,,,,
2,Deaths caused by exposure to high and low air pressure and changes in air pressureDeaths (US) (CDC),,,,,,,,,,22,12.0,13.0,13.0,10.0,9.0,9.0,10.0,12.0,13.0,11.0,10.0,,,,,,,,,
2,Deaths caused by floodDeaths (US) (CDC),,,,,,,,,,15,5.0,35.0,9.0,26.0,22.0,12.0,10.0,22.0,7.0,15.0,39.0,,,,,,,,,
2,Deaths caused by lightningDeaths (US) (CDC),,,,,,,,,,,50,44.0,66.0,47.0,46.0,48.0,47.0,46.0,29.0,31.0,,,,,,,,,,
1,Divorce rate in AlabamaDivorces per 1000 people (US Census),,,,,,,,,,,5.5,5.4,5.4,5.2,4.9,4.9,4.9,4.5,4.3,4.4,,,,,,,,,,
1,Divorce rate in FloridaDivorces per 1000 people (US Census),,,,,,,,,,5.1,5.1,5.2,5.1,5.0,4.7,4.6,4.7,4.6,4.3,4.2,4.4,,,,,,,,,
1,Divorce rate in MaineDivorces per 1000 people (US Census),,,,,,,,,,,5,4.7,4.6,4.4,4.3,4.1,4.2,4.2,4.2,4.1,,,,,,,,,,
1,Divorce rate in MaineDivorces per 1000 people (US Census),,,,,,,,,,,5,4.7,4.6,4.4,4.3,4.1,4.2,4.2,4.2,4.1,,,,,,,,,,
2,Divorce rate in South CarolinaDivorces per 1000 people (US Census),,,,,,,,,,3.8,3.8,3.6,3.4,3.3,3.2,2.9,2.9,3.0,2.8,3.0,,,,,,,,,,
1,Divorce rate in TexasDivorces per 1000 people (US Census),,,,,,,,,,,,,,,,,3.4,3.3,3.3,3.3,,,,,,,,,,
2,Domestically produced passenger cars sold (US)Thousands of cars (BTS),,,,,,,,,,6979,6831.0,6325.0,5878.0,5527.0,5396.0,5533.0,5476.0,5253.0,4535.0,3619.0,,,,,,,,,,
1,Drivers killed in collision with railway trainDeaths (US) (CDC),,,,,,,,,,76,74.0,76.0,87.0,66.0,59.0,63.0,60.0,55.0,52.0,46.0,29.0,,,,,,,,,
2,Drivers killed in collision with railway trainDeaths (US) (CDC),,,,,,,,,,76,74.0,76.0,87.0,66.0,59.0,63.0,60.0,55.0,52.0,46.0,,,,,,,,,,
2,Drivers killed in noncollision transport accidentDeaths (US) (CDC),,,,,,,,,,,1430,1461.0,1726.0,1603.0,1515.0,1541.0,1600.0,1413.0,1136.0,1119.0,,,,,,,,,,
2,Female Editors on Harvard Law ReviewWomen (Harvard Crimson),,,,,,,,,,,,,,,,9,14.0,19.0,12.0,19.0,,,,,,,,,,
2,Females in New York who slipped or tripped to their deathDeaths (US) (CDC),,,,,,,,,,11,,10.0,12.0,10.0,,11.0,11.0,10.0,16.0,11.0,,,,,,,,,,
2,General Mills: sales in billionsSales in billions (),,,,,,,,,,,,,,,,,,,13.548,14.556,14.636,,,,,,,,,
2,Helicopter accidents killing occupantDeaths (US) (CDC),,,,,,,,,,59,64.0,56.0,48.0,79.0,75.0,42.0,49.0,47.0,69.0,43.0,,,,,,,,,,
1,Honey producing bee colonies (US)Thousands of colonies (USDA),,,,,,,,,,2652,2622.0,2550.0,2574.0,2599.0,2554.0,2409.0,2394.0,2443.0,2342.0,2498.0,,,,,,,,,,
1,Honey producing bee colonies (US)Thousands of colonies (USDA),,,,,,,,,,2652,2622.0,2550.0,2574.0,2599.0,2554.0,2409.0,2394.0,2443.0,2342.0,2498.0,,,,,,,,,,
1,Japanese passenger cars sold in the USThousands of cars (BTS),,,,,,,,,,758,863.0,837.0,930.0,830.0,810.0,923.0,1154.0,1183.0,1142.0,829.0,,,,,,,,,,
1,Japanese passenger cars sold in the USThousands of cars (BTS),,,,,,,,,,758,863.0,837.0,930.0,830.0,810.0,923.0,1154.0,1183.0,1142.0,829.0,,,,,,,,,,
1,Juvenile arrests for possession of marijuana (US)Arrests (DEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Juvenile drug arrests (US)Arrests (DEA),,,,,,,,,,138774,146594.0,146758.0,133557.0,134746.0,135056.0,137809.0,145153.0,143270.0,134661.0,130317.0,,,,,,,,,,
2,Lawyers in CaliforniaLawyers (ABA),,,,,,,,,,,128553,131139.0,132452.0,134468.0,136571.0,139371.0,141030.0,145355.0,148399.0,149982.0,,,,,,,,,,
2,Lawyers in Puerto RicoLawyers (ABA),,,,,,,,,,9892,10195.0,11071.0,10947.0,11209.0,11191.0,11805.0,11767.0,12142.0,12454.0,13071.0,13282.0,,,,,,,,,
2,Lawyers in the Northern Mariana IslandsLawyers (ABA),,,,,,,,,,,,,,,,,156,128.0,127.0,128.0,129.0,,,,,,,,,
1,Letters in Winning Word of Scripps National Spelling BeeLetters (Scripps),,,,,,,,,,9,8.0,11.0,12.0,11.0,13.0,12.0,9.0,9.0,7.0,9.0,,,,,,,,,,
2,Marriage rate in AlabamaMarriages per 1000 people (US Census),,,,,,,,,,10.8,10.1,9.4,9.9,9.6,9.4,9.2,9.2,8.9,8.6,8.3,8.2,,,,,,,,,
2,Marriage rate in KentuckyMarriages per 1000 people (US Census),,,,,,,,,,10.9,9.8,9.0,9.0,9.1,8.8,8.7,8.4,7.8,7.9,7.6,7.4,,,,,,,,,
1,Marriage rate in New YorkMarriages per 1000 people (US Census),,,,,,,,,,7.3,7.1,7.6,7.3,6.8,6.8,6.8,6.9,6.8,6.6,6.5,6.5,,,,,,,,,
1,Marriage rate in Rhode IslandMarriages per 1000 people (US Census),,,,,,,,,,7.5,7.6,8.1,7.8,7.8,7.7,7.0,6.6,6.4,6.1,5.9,5.8,,,,,,,,,
2,Marriage rate in VermontMarriages per 1000 people (US Census),,,,,,,,,,10,10.0,9.8,9.8,9.7,9.4,8.9,8.6,8.5,7.9,8.7,,,,,,,,,,
1,Marriage rate in WyomingMarriages per 1000 people (US Census),,,,,,,,,,9.9,10.0,10.0,9.5,9.3,9.3,9.3,9.3,9.0,8.6,8.0,,,,,,,,,,
1,Math doctorates awarded (US)Degrees awarded (National Science Foundation),,,,,,,1122,1123.0,1177.0,1083.0,1050.0,1010.0,919.0,993.0,1076.0,1205.0,1325.0,1393.0,1399.0,,,,,,,,,,,
1,Math doctorates awarded (US)Degrees awarded (National Science Foundation),,,,,,,,,,1083,1050.0,1010.0,919.0,993.0,1076.0,1205.0,1325.0,1393.0,1399.0,1554.0,,,,,,,,,,
1,Money spent on movie theater admission (US)Billions of dollars (Bureau of Economic Analysis),,,,,,,,,,,8.6,9.0,9.6,9.9,9.9,9.1,9.4,9.6,9.7,10.4,,,,,,,,,,
1,Money spent on pets (US)Billions of dollars (Bureau of Economic Analysis),,,,,,,,,,,39.7,41.9,44.6,46.8,49.8,53.1,56.9,61.8,65.7,67.1,,,,,,,,,,
1,Money spent on pets (US)Billions of dollars (Bureau of Economic Analysis),,,,,,,,,,,39.7,41.9,44.6,46.8,49.8,53.1,56.9,61.8,65.7,67.1,,,,,,,,,,
2,Motorcycle riders killed in noncollision transport accidentDeaths (US) (CDC),,,,,,,,,,,35,34.0,33.0,47.0,54.0,63.0,44.0,56.0,55.0,51.0,,,,,,,,,,
2,Murders by blunt objectDeaths (US) (CDC),,,,,,,,,,242,210.0,199.0,184.0,129.0,102.0,152.0,115.0,111.0,95.0,79.0,65.0,,,,,,,,,
2,Murders by crashing of motor vehicleDeaths (US) (CDC),,,,,,,,,,106,106.0,86.0,60.0,51.0,51.0,38.0,38.0,30.0,37.0,60.0,39.0,,,,,,,,,
1,Murders by pushing from high placeDeaths (US) (CDC),,,,,,,,,,17,18.0,17.0,16.0,15.0,17.0,18.0,19.0,15.0,20.0,18.0,12.0,,,,,,,,,
2,"Murders by steam, hot vapours and hot objectsDeaths (US) (CDC)",,,,,,,,,,7,7.0,7.0,3.0,4.0,3.0,8.0,4.0,2.0,3.0,2.0,,,,,,,,,,
1,Non-commercial space launches (US)Launches (FAA),,,,,,,,,,18,21.0,19.0,12.0,18.0,10.0,11.0,16.0,16.0,9.0,20.0,,,,,,,,,,
1,Number of films Nicolas Cage appeared inFilms (IMDB),,,,,,,,,,,,,,,,2,3.0,4.0,1.0,4.0,,,,,,,,,,
